"filename", "language", "JSON", "CSS", "Markdown", "JavaScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\steve\Documents\webDev\CLUP-2.1\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\package-lock.json", "JSON", 2059, 0, 0, 0, 0, 0, 0, 1, 2060
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\package.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\ChangeCountController.js", "JavaScript", 0, 0, 0, 33, 0, 0, 5, 2, 40
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\CompanyController.js", "JavaScript", 0, 0, 0, 42, 0, 0, 16, 3, 61
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\LoginController.js", "JavaScript", 0, 0, 0, 30, 0, 0, 13, 7, 50
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\StoreController.js", "JavaScript", 0, 0, 0, 68, 0, 0, 12, 8, 88
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\UserController.js", "JavaScript", 0, 0, 0, 54, 0, 0, 12, 5, 71
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\VisitController.js", "JavaScript", 0, 0, 0, 86, 0, 0, 25, 14, 125
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\models\Company.js", "JavaScript", 0, 0, 0, 9, 0, 0, 4, 2, 15
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\models\Store.js", "JavaScript", 0, 0, 0, 27, 0, 0, 7, 2, 36
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\models\User.js", "JavaScript", 0, 0, 0, 20, 0, 0, 1, 2, 23
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\models\Visit.js", "JavaScript", 0, 0, 0, 8, 0, 0, 3, 2, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\routes.js", "JavaScript", 0, 0, 0, 32, 0, 0, 32, 21, 85
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\server.js", "JavaScript", 0, 0, 0, 25, 0, 0, 5, 6, 36
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\package-lock.json", "JSON", 18404, 0, 0, 0, 0, 0, 0, 1, 18405
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\App.css", "CSS", 0, 116, 0, 0, 0, 0, 2, 22, 140
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\App.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\logo.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\CreateCompany\createcompany.css", "CSS", 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\CreateCompany\index.js", "JavaScript", 0, 0, 0, 54, 0, 0, 6, 3, 63
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\CreateStore\index.js", "JavaScript", 0, 0, 0, 142, 0, 0, 14, 6, 162
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Dashboard\dashboard.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Dashboard\index.js", "JavaScript", 0, 0, 0, 54, 0, 0, 4, 6, 64
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\FindStore\findstore.css", "CSS", 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\FindStore\index.js", "JavaScript", 0, 0, 0, 74, 0, 0, 8, 7, 89
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Login\index.js", "JavaScript", 0, 0, 0, 69, 0, 0, 9, 4, 82
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Login\login.css", "CSS", 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\MyVisits\index.js", "JavaScript", 0, 0, 0, 126, 0, 0, 61, 24, 211
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\MyVisits\myvisits.css", "CSS", 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Navbar\navbar.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Navbar\navbar.js", "JavaScript", 0, 0, 0, 37, 0, 0, 4, 2, 43
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Register\index.js", "JavaScript", 0, 0, 0, 73, 0, 0, 6, 4, 83
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Register\register.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\ScheduleVisit\index.js", "JavaScript", 0, 0, 0, 104, 0, 0, 14, 11, 129
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\ScheduleVisit\schedulevisit.css", "CSS", 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\routes.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 1, 30
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\services\api.js", "JavaScript", 0, 0, 0, 5, 0, 0, 1, 2, 8
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 4, 1, 6
"Total", "-", 20567, 207, 40, 1241, 20, 7, 291, 240, 22613
