"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\package-lock.json", "JSON", 0, 2059, 0, 1, 2060
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\package.json", "JSON", 0, 25, 0, 1, 26
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\ChangeCountController.js", "JavaScript", 33, 0, 5, 2, 40
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\CompanyController.js", "JavaScript", 42, 0, 16, 3, 61
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\LoginController.js", "JavaScript", 30, 0, 13, 7, 50
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\StoreController.js", "JavaScript", 68, 0, 12, 8, 88
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\UserController.js", "JavaScript", 54, 0, 12, 5, 71
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\controllers\VisitController.js", "JavaScript", 84, 0, 27, 15, 126
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\models\Company.js", "JavaScript", 9, 0, 4, 2, 15
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\models\Store.js", "JavaScript", 27, 0, 7, 2, 36
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\models\User.js", "JavaScript", 20, 0, 1, 2, 23
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\models\Visit.js", "JavaScript", 8, 0, 3, 2, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\routes.js", "JavaScript", 32, 0, 32, 21, 85
"c:\Users\steve\Documents\webDev\CLUP-2.1\backend\src\server.js", "JavaScript", 25, 0, 5, 6, 36
"Total", "-", 432, 2084, 137, 77, 2730
