"filename", "language", "Markdown", "HTML", "CSS", "JSON", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\package-lock.json", "JSON", 0, 0, 0, 18404, 0, 0, 0, 1, 18405
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\package.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 1, 55
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\public\index.html", "HTML", 0, 20, 0, 0, 0, 0, 23, 1, 44
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\App.css", "CSS", 0, 0, 116, 0, 0, 0, 2, 22, 140
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\App.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\App.test.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\index.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\logo.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\CreateCompany\createcompany.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\CreateCompany\index.js", "JavaScript", 0, 0, 0, 0, 54, 0, 6, 3, 63
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\CreateStore\index.js", "JavaScript", 0, 0, 0, 0, 142, 0, 14, 6, 162
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Dashboard\dashboard.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Dashboard\index.js", "JavaScript", 0, 0, 0, 0, 54, 0, 4, 6, 64
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\FindStore\findstore.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\FindStore\index.js", "JavaScript", 0, 0, 0, 0, 74, 0, 8, 7, 89
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Login\index.js", "JavaScript", 0, 0, 0, 0, 69, 0, 9, 4, 82
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Login\login.css", "CSS", 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\MyVisits\index.js", "JavaScript", 0, 0, 0, 0, 126, 0, 61, 24, 211
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\MyVisits\myvisits.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Navbar\navbar.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Navbar\navbar.js", "JavaScript", 0, 0, 0, 0, 37, 0, 4, 2, 43
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Register\index.js", "JavaScript", 0, 0, 0, 0, 73, 0, 6, 4, 83
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Register\register.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\ScheduleVisit\index.js", "JavaScript", 0, 0, 0, 0, 104, 0, 14, 11, 129
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\ScheduleVisit\schedulevisit.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\routes.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 1, 30
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\services\api.js", "JavaScript", 0, 0, 0, 0, 5, 0, 1, 2, 8
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 1, 0, 4, 1, 6
"Total", "-", 38, 20, 207, 18483, 807, 7, 156, 163, 19881
