"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\App.css", "CSS", 0, 116, 0, 2, 22, 140
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\App.js", "JavaScript", 10, 0, 0, 0, 3, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\index.css", "CSS", 0, 12, 0, 0, 2, 14
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\index.js", "JavaScript", 10, 0, 0, 0, 3, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\logo.svg", "XML", 0, 0, 7, 0, 1, 8
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\CreateCompany\createcompany.css", "CSS", 0, 11, 0, 0, 2, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\CreateCompany\index.js", "JavaScript", 54, 0, 0, 6, 3, 63
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\CreateStore\index.js", "JavaScript", 142, 0, 0, 14, 6, 162
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Dashboard\dashboard.css", "CSS", 0, 7, 0, 0, 1, 8
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Dashboard\index.js", "JavaScript", 54, 0, 0, 4, 6, 64
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\FindStore\findstore.css", "CSS", 0, 9, 0, 0, 4, 13
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\FindStore\index.js", "JavaScript", 74, 0, 0, 8, 7, 89
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Login\index.js", "JavaScript", 69, 0, 0, 9, 4, 82
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Login\login.css", "CSS", 0, 14, 0, 0, 2, 16
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\MyVisits\index.js", "JavaScript", 126, 0, 0, 61, 24, 211
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\MyVisits\myvisits.css", "CSS", 0, 10, 0, 0, 4, 14
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Navbar\navbar.css", "CSS", 0, 6, 0, 0, 2, 8
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Navbar\navbar.js", "JavaScript", 37, 0, 0, 4, 2, 43
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Register\index.js", "JavaScript", 73, 0, 0, 6, 4, 83
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\Register\register.css", "CSS", 0, 4, 0, 0, 0, 4
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\ScheduleVisit\index.js", "JavaScript", 104, 0, 0, 14, 11, 129
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\pages\ScheduleVisit\schedulevisit.css", "CSS", 0, 18, 0, 0, 5, 23
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\routes.js", "JavaScript", 29, 0, 0, 0, 1, 30
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\services\api.js", "JavaScript", 5, 0, 0, 1, 2, 8
"c:\Users\steve\Documents\webDev\CLUP-2.1\frontend\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 807, 207, 7, 133, 126, 1280
